2/20/2017 11:52 AM																																						
# FuelCalculationMethod = MassAirFlow																																						
Time (sec)	 Latitude (deg)	 Longitude (deg)	 Vehicle speed (MPH)	 Accel X (ft/s²)	 Accel Y (ft/s²)	 Accel Z (ft/s²)	 Engine RPM (RPM)	 Actual engine - percent torque (%)	 Instant fuel economy (MPG)	 Total fuel economy (MPG)	 Fuel rate (gal/hr)	 Rotation Rate X (deg/s)	 Rotation Rate Y (deg/s)	 Rotation Rate Z (deg/s)	 Roll (deg)	 Pitch (deg)	 Calculated load value (%)	 Engine coolant temperature (F)	 Intake manifold absolute pressure (inHg)	 Intake air temperature (F)	 Mass air flow rate (lb/min)	 Absolute throttle position (%)	 Time since engine start (sec)	 Fuel type	 Relative accelerator pedal position (%)	 Engine oil temperature (F)	 Engine fuel rate (gal/hr)	 Driver's demand engine - percent torque (%)	 Engine reference torque (lb•ft)	 Boost (psi)	 Acceleration (ft/s²)	 Acceleration (Avg) (ft/s²)	 Engine Power (hp)	 Engine Torque (lb•ft)	 A/F Commanded	 A/F Actual	 Fuel Remaining (gal)	 GPS Speed (MPH)
0	0	0	0	1.970239	29.03291	9.333323	0	0	0	0	0	24.42525	-8.188904	-21.68216	3.607007	-17.69627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.099	33.9108	-84.52682	0	3.243992	26.25308	3.266039	0	0	0	0	0	41.67975	18.54211	-23.18579	-0.2931417	-12.65448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
0.199	33.9108	-84.52682	0	-3.728184	25.05072	6.655209	0	0	0	0	0	-1.725723	44.28319	1.066208	-0.7537876	-11.35026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
0.301	33.9108	-84.52682	0	1.225858	21.79787	2.870997	0	0	0	0	0	-30.93919	28.4545	-10.96863	-1.38499	-12.81679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
0.403	33.9108	-84.52682	0	1.401803	17.95008	5.855195	0	0	0	0	0	-27.33699	4.961639	-1.953369	-0.7325451	-15.11517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
0.507	33.9108	-84.52682	0	-5.82372	5.26741	2.988633	0	0	0	0	0	-48.37549	10.71133	-58.87344	-2.773113	-17.63788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
0.607	33.9108	-84.52682	0	-0.9051229	17.7799	4.38979	0	0	0	0	0	-17.02361	7.459213	51.07201	-0.1807071	-20.01847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
0.71	33.9108	-84.52682	0	-5.435644	18.09071	0.6789798	0	0	0	0	0	-28.94676	-3.483856	23.0719	2.561868	-22.1066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
0.813	33.9108	-84.52682	0	0.7211054	15.43695	2.320374	0	0	0	0	0	25.67696	2.86615	10.93344	2.676107	-19.66787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
0.915	33.9108	-84.52682	0	6.235582	12.96312	11.91094	0	0	0	0	0	12.66649	-41.49998	5.64064	3.058052	-20.4151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
1.02	33.9108	-84.52682	0	3.456664	4.573048	2.036047	0	0	0	0	0	-24.92746	44.42523	1.092163	1.984684	-27.02594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
1.123	33.9108	-84.52682	0	-4.467715	9.731812	17.29786	0	0	0	0	0	0.3575134	-1.27684	1.103622	0.3106704	-28.08428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
1.226	33.9108	-84.52682	0	-0.03800581	7.129136	5.811565	0	0	0	0	0	-0.06710815	-1.339172	0.1281738	0.1404069	-27.09434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
1.326	33.9108	-84.52682	0	-0.1867453	6.661254	5.0223	0	0	0	0	0	-0.00692749	-1.338654	0.3720398	-0.1456756	-26.34743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
1.426	33.9108	-84.52682	0	0.0774506	5.989878	4.644412	0	0	0	0	0	0.1163025	-1.400711	0.1287384	-0.6295535	-25.10242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
1.526	33.9108	-84.52682	0	-0.2628673	5.41291	4.097198	0	0	0	0	0	-0.1900635	-1.338379	0.2498779	-0.8020676	-24.6829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
1.626	33.9108	-84.52682	0	-0.1984674	4.779547	3.677636	0	0	0	0	0	-0.06790161	-1.277542	0.3716583	-0.9084845	-24.47201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
1.736	33.9108	-84.52682	0	-0.03070938	4.157129	3.096331	0	0	0	0	0	-0.1283264	-1.338959	0.1280823	-0.8841864	-24.32003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
1.834	33.9108	-84.52682	0	-0.2623896	3.733404	3.14876	0	0	0	0	0	-0.06761169	-1.399887	0.1894073	-0.9660932	-24.22181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
1.937	33.9108	-84.52682	0	-0.1933475	3.304733	2.552425	0	0	0	0	0	-0.007415771	-1.460449	0.3726196	-1.086772	-24.20083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
2.04	33.9108	-84.52682	0	0.2096607	3.274348	2.161989	0	0	0	0	0	0.05354309	-1.46048	0.4336548	-1.037623	-24.11905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
2.143	33.9108	-84.52682	0	-0.1351264	2.736124	2.016769	0	0	0	0	0	-0.1880646	-1.034439	0.06559753	-1.007139	-24.04334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
2.244	33.9108	-84.52682	0	-0.320725	2.547592	2.07578	0	0	0	0	0	-0.007904053	-1.582245	0.3731995	-1.129083	-23.99073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
2.346	33.9108	-84.52682	0	0.2288588	2.416329	1.819831	0	0	0	0	0	-0.3125305	-1.21579	0.3710022	-1.101284	-23.93965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
2.448	33.9108	-84.52682	0	-0.107676	2.027546	1.641698	0	0	0	0	0	-0.3125	-1.337952	0.2496948	-1.113661	-23.93157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
2.548	33.9108	-84.52682	0	0.02314554	1.847309	1.301148	0	0	0	0	0	0.05427551	-1.277786	0.432785	-1.141275	-23.94287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
2.65	33.9108	-84.52682	0	-0.08840037	1.65467	1.272751	0	0	0	0	0	-0.1900482	-1.39946	0.1892242	-1.095541	-23.92007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
2.752	33.9108	-84.52682	0	-0.8423565	1.878406	3.335819	0	0	0	0	0	-2.037064	-3.095627	1.047806	-1.12459	-23.9038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
2.855	33.9108	-84.52682	0	0.1094449	1.235453	0.7162957	0	0	0	0	0	-0.1283417	-1.277878	0.188736	-1.142931	-23.89004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
2.955	33.9108	-84.52682	0	-0.3378697	1.188618	0.7795634	0	0	0	0	0	-0.2523193	-1.337433	0.4935608	-1.143598	-23.87414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
3.055	33.9108	-84.52682	0	0.2713079	1.119709	0.8838307	0	0	0	0	0	-0.06788635	-1.338623	0.3110046	-1.168118	-23.86708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
3.158	33.9108	-84.52682	0	-0.09717958	0.7026669	0.4451151	0	0	0	0	0	-0.1288452	-1.338593	0.2499695	-1.160051	-23.86023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
3.258	33.9108	-84.52682	0	-0.1286676	0.7910575	0.4791402	0	0	0	0	0	-0.06811523	-1.460602	0.2506409	-1.162199	-23.87283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
3.359	33.9108	-84.52682	0	0.2867197	0.8143308	0.6799519	0	0	0	0	0	-0.00692749	-1.338654	0.3720398	-1.159281	-23.87908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
3.46	33.9108	-84.52682	0	0.0315782	0.8874253	0.4705192	0	0	0	0	0	-0.2510223	-1.338348	0.1888428	-1.160045	-23.86735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
3.572	33.9108	-84.52682	0	0.1644052	0.6247323	0.3253152	0	0	0	0	0	-0.006408691	-1.33902	0.2501526	-1.163827	-23.85425	0	0	0	0	0.781893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
3.668	33.9108	-84.52682	0	-0.3132984	0.6993068	0.6118537	0	0	0	0	0	-0.006652832	-1.399918	0.2504425	-1.179643	-23.8491	0	0	0	0	0.781893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6710809
3.771	33.9108	-84.52682	0	0.08757189	0.6440712	0.6282222	0	0	0	0	0	-0.1286163	-1.216614	0.3103333	-1.164932	-23.85001	0	0	0	0	0.781893	0	0	0	0	0	0	0	0	0	0	0	0	0	14.63871	0	0	0.6710809
3.871	33.9108	-84.52682	0	-0.1105254	0.5521382	0.269242	705.5	0	0	0	0	-0.00692749	-1.338654	0.3720398	-1.176472	-23.84121	0	0	0	0	0.781893	0	0	0	0	0	0	0	0	0	0	0	0	0	14.63871	0	0	0.6710809
3.975	33.9108	-84.52682	0	0.3455956	0.4014257	0.243784	705.5	0	0	0	0	-0.006408691	-1.33902	0.2501526	-1.166852	-23.84867	0	0	0	0	0.781893	0	0	0	0	0	0	0	0	0	0	0	0	0	14.63871	0	0	0.6710809
4.076	33.9108	-84.52682	0	-0.07941835	0.3885068	0.3084962	705.5	0	0	0	0	-0.7449341	-2.310822	0.2536926	-1.150856	-23.86007	16.47059	0	0	0	0.781893	0	0	0	0	0	0	0	0	0	0	0	0	0	14.63871	0	0	0.6710809
4.181	33.9108	-84.52682	0	0.4596315	0.4605464	0.5561314	705.5	0	0	0	0	0.05604553	-1.095825	0.1881409	-1.146936	-23.87215	16.47059	0	0	0	0.781893	0	0	0	0	0	0	0	0	0	0	0	0	0	14.63871	0	0	0.6710809
4.29	33.9108	-84.52682	0	-0.1818294	0.316758	0.2005176	705.5	0	0	0	0	-0.1280975	-1.21698	0.188446	-1.15012	-23.85438	16.47059	145.4	0	0	0.781893	0	0	0	0	0	0	0	0	0	0	0	0	0	14.63871	0	0	0.6710809
4.383	33.9108	-84.52682	0	-0.020847	0.1928908	0.07074482	705.5	0	0	0	0	-0.1903229	-1.338196	0.3108215	-1.161724	-23.84305	16.47059	145.4	0	0	0.781893	0	0	0	0	0	0	0	0	0	0	0	0	0	14.63871	0	0	0.6710809
4.486	33.9108	-84.52682	0	-0.007897156	0.1317446	0.1018943	705.5	0	0	0	0	-0.1290894	-1.39949	0.2502594	-1.149149	-23.84173	16.47059	145.4	0	0	0.781893	0	0	0	0	0	0	0	0	0	0	0	0	0	14.63871	0	0	0.6710809
4.589	33.9108	-84.52682	0	0.1335696	0.1866238	0.1376405	705.5	0	0	0	0	0.05430603	-1.399948	0.3114777	-1.148043	-23.84861	16.47059	145.4	0	0	0.781893	0	0	0	0	0	0	0	0	0	0	0	0	0	14.63871	0	0	0.6710809
4.691	33.9108	-84.52682	0	-0.09826516	0.2007366	0.1562958	705.5	0	0	0	0	-0.00642395	-1.277939	0.3108063	-1.148647	-23.84655	16.47059	145.4	13.58385	0	0.781893	0	0	0	0	0	0	0	0	-7.832038	0	0	0	0	14.63871	0	0	0.6710809
4.793	33.9108	-84.52682	0	0.160803	0.2372673	0.02283335	705.5	0	0	0	0	-0.005889893	-1.339386	0.1282654	-1.149824	-23.8362	16.47059	145.4	13.58385	0	0.781893	0	0	0	0	0	0	0	0	-7.832038	0	0	0	0	14.63871	0	0	0.6710809
4.896	33.9108	-84.52682	0	-0.1326588	0.1291984	0.06287649	705.5	0	0	0	0	-0.1293488	-1.399307	0.311203	-1.153198	-23.83792	16.47059	145.4	13.58385	95	0.781893	0	0	0	0	0	0	0	0	-7.832038	0	0	0	0	14.63871	0	0	0.6710809
4.997	33.9108	-84.52682	0	-0.08149086	0.2524375	0.2596484	705.5	0	0	0	0	-0.4944763	-0.7888641	0.3686981	-1.149924	-23.85029	16.47059	145.4	13.58385	95	0.781893	0	0	0	0	0	0	0	0	-7.832038	0	0	0	0	14.63871	0	0	0.6710809
5.097	33.9108	-84.52682	0	-0.01060797	0.09170899	-0.03470308	705.5	0	0	0	0	0.1155243	-1.400162	0.3115692	-1.155961	-23.86007	16.47059	145.4	13.58385	95	0.781893	0	0	0	0	0	0	0	0	-7.832038	0	0	0	0	14.63871	0	0	0.6710809
5.201	33.9108	-84.52682	0	-0.2373665	0.0840737	-0.1839512	705.5	0	0	0	0	-0.06840515	-1.338257	0.4328918	-1.1452	-23.85376	16.47059	145.4	13.58385	95	0.781893	12.54902	0	0	0	0	0	0	0	-7.832038	0	0	0	0	14.63871	0	0	0.6710809
5.309	33.9108	-84.52682	0	0.141684	0.02429947	0.04064214	705.5	0	0	0	0	-0.1902924	-1.460358	0.1895142	-1.150482	-23.84499	16.47059	145.4	13.58385	95	0.781893	12.54902	0	0	0	0	0	0	0	-7.832038	0	0	0	0	14.63871	0	0	0.6710809
5.409	33.9108	-84.52682	0	0.09453487	0.1944836	0.3300925	705.5	0	0	0	0	-0.1295929	-1.460205	0.3114929	-1.150563	-23.85165	16.47059	145.4	13.58385	95	0.781893	12.54902	58	0	0	0	0	0	0	-7.832038	0	0	0	0	14.63871	0	0	0.6710809
5.51	33.9108	-84.52682	0	0.2249793	0.2284048	0.08133622	705.5	0	0	0	0	-0.06764221	-1.277725	0.3107147	-1.137579	-23.85268	16.47059	145.4	13.58385	95	0.781893	12.54902	58	0	0	0	0	0	0	-7.832038	0	0	0	0	14.63871	0	0	0.6710809
5.617	33.9108	-84.52682	0	0.08892583	-1.559475	0.7722038	705.5	0	0	0	0	-0.06707764	-1.461334	0.006866455	-1.147987	-23.8738	16.47059	145.4	13.58385	95	0.781893	12.54902	58	0	0	0	0	0	0	-7.832038	0	0	0	0	14.63871	0	0	0.6710809
5.71	33.9108	-84.52682	0	0.08303153	0.1603438	-0.04923871	705.5	0	0	0	0	0.2991943	-1.461884	0.2511902	-1.13076	-23.88319	16.47059	145.4	13.58385	95	0.781893	12.54902	58	0	0	0	0	0	0	-7.832038	0	0	0	0	14.63871	0	0	0.6710809
5.81	33.9108	-84.52682	0	0.2550707	0.08317242	-0.4083699	705.5	0	0	0	0	0.1767731	-1.522537	0.1903534	-1.152919	-23.84027	16.47059	145.4	13.58385	95	0.781893	12.54902	58	0	0	0	0	0	0	-7.832038	0	0	0	0	14.63871	0	0	0.6710809
5.911	33.9108	-84.52682	0	0.07561015	0.1282731	0.3540614	705.5	0	0	0	0	0.177002	-1.400558	0.2507172	-1.139988	-23.89001	16.47059	145.4	13.58385	95	0.781893	12.54902	58	0	0	0	0	0	0	-7.832038	0	0	0	0	14.63871	14.52038	4.886274	0.6710809
6.011	33.9108	-84.52682	0	-0.002724023	0.2256855	-0.01350596	705.5	0	0	0	0	-0.1897888	-1.399643	0.1282806	-1.129549	-23.88444	16.47059	145.4	13.58385	95	0.781893	12.54902	58	0	0	0	0	0	0	-7.832038	0	0	0	0	14.63871	14.52038	4.886274	0.6710809
6.11	33.9108	-84.52682	0	-0.2580809	0.2452974	-0.06710201	705.5	0	0	0	0	-0.2523041	-1.398514	0.4329071	-1.150396	-23.85956	16.47059	145.4	13.58385	95	0.781893	12.54902	58	0	0	0	0	0	0	-7.832038	0	0	0	0	14.63871	14.52038	4.886274	0.6710809
6.211	33.9108	-84.52682	0	-0.0828757	0.05636234	0.2461034	705.5	0	0	0	0	-0.06787109	-1.399704	0.250351	-1.132641	-23.87999	16.47059	145.4	13.58385	95	0.781893	12.54902	58	0	0	0	0	0	0	-7.832038	0	0	0	0	14.63871	14.52038	4.886274	0.6710809
6.312	33.9108	-84.52682	0	0.1019336	0.1499388	-0.01279933	705.5	0	0	0	0	-0.1291046	-1.338409	0.3109131	-1.140931	-23.88704	16.47059	145.4	13.58385	95	0.781893	12.54902	58	0	0	0	0	0	0	-7.832038	0	0	0	0	14.63871	14.52038	4.886274	0.6710809
6.412	33.9108	-84.52682	0	0.08848125	0.03008617	0.1014553	705.5	0	0	0	0.6124653	-0.1290741	-1.460571	0.1896057	-1.150749	-23.86012	16.47059	145.4	13.58385	95	0.922131	12.54902	58	0	0	0	0	0	0	-7.832038	0	0	8.39758	0	14.63871	14.52038	4.886274	0.6710809
6.515	33.9108	-84.52682	0	-0.4211265	0.121629	0.08979049	705.5	0	0	0	0.6124653	-0.06762695	-1.338806	0.250061	-1.128682	-23.88875	16.47059	145.4	13.58385	95	0.922131	12.54902	58	0	0	0	0	0	0	-7.832038	0	0	8.39758	0	14.63871	14.52038	4.886274	0.6710809
6.618	33.9108	-84.52682	0	-0.1412633	0.06057257	-0.03305876	705.5	0	0	0	0.6124653	0.05380249	-1.460663	0.3727112	-1.127119	-23.88228	16.47059	145.4	13.58385	95	0.922131	12.54902	58	0	0	0	0	0	0	-7.832038	0	0	8.39758	0	14.63871	14.52038	4.886274	0.6710809
6.72	33.9108	-84.52682	0	0.2645514	0.04339957	-0.2362604	705.5	0	0	0	0.6124653	-0.1290894	-1.39949	0.2502594	-1.138012	-23.86431	16.47059	145.4	13.58385	95	0.922131	12.54902	58	0	0	0	0	0	0	-7.832038	0	0	8.39758	0	14.63871	14.52038	4.886274	0.6710809
6.839	33.9108	-84.52682	0	0.1469174	0.1216541	0.2938443	678.5	0	0	0	0.6124653	0.1165619	-1.400894	0.0677948	-1.138896	-23.86938	16.47059	145.4	13.58385	95	0.922131	12.54902	58	0	0	0	0	0	0	-7.832038	0	0	8.39758	65.00375	14.63871	14.52038	4.886274	0.6710809
6.935	33.9108	-84.52682	0	0.08110918	-0.08489832	-0.1532537	678.5	0	0	0	0.6124653	-0.3734894	-1.215759	0.309967	-1.135314	-23.89853	16.47059	145.4	13.58385	95	0.922131	12.54902	58	0	0	0	0	0	0	-7.832038	0	0	8.39758	65.00375	14.63871	14.52038	4.886274	0.6710809
7.041	33.9108	-84.52682	0	-0.1861772	0.1066632	0.007181981	678.5	0	0	0	0.6124653	-0.06762695	-1.338806	0.250061	-1.123817	-23.9047	20	145.4	13.58385	95	0.922131	12.54902	58	0	0	0	0	0	0	-7.832038	0	0	8.39758	65.00375	14.63871	14.52038	4.886274	0.6710809
7.14	33.9108	-84.52682	0	-0.09990866	-0.05531836	-0.06968247	678.5	0	0	0	0.6124653	-0.1903076	-1.399277	0.2501678	-1.131277	-23.90877	20	145.4	13.58385	95	0.922131	12.54902	58	0	0	0	0	0	0	-7.832038	0	0	8.39758	65.00375	14.63871	14.52038	4.886274	0.6710809
7.241	33.9108	-84.52682	0	0.08709792	0.06148721	-0.3033714	678.5	0	0	0	0.6124653	0.05456543	-1.400131	0.2505341	-1.123021	-23.87589	20	145.4	13.58385	95	0.922131	12.54902	58	0	0	0	0	0	0	-7.832038	0	0	8.39758	65.00375	14.63871	14.52038	4.886274	0.6710809
7.345	33.9108	-84.52682	0	-0.1453146	-0.008285115	-0.357375	678.5	0	0	0	0.6124653	-0.006652832	-1.399918	0.2504425	-1.149336	-23.81102	20	145.4	13.58385	95	0.922131	12.54902	58	0	0	0	0	0	0	-7.832038	0	0	8.39758	65.00375	14.63871	14.52038	4.886274	0.6710809
7.445	33.9108	-84.52682	0	-0.3015769	-0.1240447	0.003890418	678.5	0	0	0	0.6124653	-0.06736755	-1.338989	0.1891174	-1.149343	-23.84538	20	145.4	13.58385	95	0.922131	12.54902	58	0	0	0	0	0	0	-7.832038	0	0	8.39758	65.00375	14.63871	14.52038	4.886274	0.6710809
7.545	33.9108	-84.52682	0	-0.1837801	0.1420195	0.1785505	678.5	0	0	0	0.6124653	-0.1290741	-1.460571	0.1896057	-1.136863	-23.88845	20	145.4	18.30866	95	0.922131	12.54902	58	0	0	0	0	0	0	-5.221359	0	0	8.39758	65.00375	14.63871	14.52038	4.886274	0.6710809
7.649	33.9108	-84.52682	0	0.0974823	-0.003977583	0.07567	678.5	0	0	0	0.6124653	-0.06816101	-1.277359	0.4326019	-1.1386	-23.89146	20	145.4	18.30866	95	0.922131	12.54902	58	0	0	0	0	0	0	-5.221359	0	0	8.39758	65.00375	14.63871	14.52038	4.886274	0.6710809
7.75	33.9108	-84.52682	0	-0.2897174	0.02200047	-0.09026468	678.5	0	0	0	0.6124653	-0.006912231	-1.399734	0.3113861	-1.141391	-23.86837	20	145.4	18.30866	95	0.922131	13.72549	58	0	0	0	0	0	0	-5.221359	0	0	8.39758	65.00375	14.63871	14.52038	4.886274	0.6710809
7.853	33.9108	-84.52682	0	0.1852745	-0.1090989	-0.07703165	678.5	0	0	0	0.6124653	-0.006652832	-1.399918	0.2504425	-1.150208	-23.85065	20	145.4	18.30866	95	0.922131	13.72549	58	0	0	0	0	0	0	-5.221359	0	0	8.39758	65.00375	14.63871	14.52038	4.886274	0.6710809
7.955	33.9108	-84.52682	0	0.02796858	-0.1053433	-0.06543875	678.5	0	0	0	0.6124653	-0.1286011	-1.277695	0.2496796	-1.138934	-23.87798	20	145.4	18.30866	95	0.922131	13.72549	60	0	0	0	0	0	0	-5.221359	0	0	8.39758	65.00375	14.63871	14.52038	4.886274	0.6710809
8.062	33.9108	-84.52682	0	0.1585582	-0.03463086	-0.2066048	678.5	0	0	0	0.6124653	-0.06764221	-1.277725	0.3107147	-1.139427	-23.88	20	145.4	18.30866	95	0.922131	13.72549	60	0	0	0	0	0	0	-5.221359	0	0	8.39758	65.00375	14.63871	14.52038	4.886274	0.6710809
8.156	33.9108	-84.52682	0	-0.2183138	-0.00050874	-0.1124194	678.5	0	0	0	0.6124653	-0.06861877	-1.521317	0.3118744	-1.14888	-23.88027	20	145.4	18.30866	95	0.922131	13.72549	60	0	0	0	0	0	0	-5.221359	0	0	8.39758	65.00375	14.63871	14.79589	4.886274	0.6710809
8.258	33.9108	-84.52682	0	-0.2158302	0.1488134	0.1140407	678.5	0	0	0	0.6124653	-0.1290894	-1.39949	0.2502594	-1.145814	-23.89533	20	145.4	18.30866	95	0.922131	13.72549	60	0	0	0	0	0	0	-5.221359	0	0	8.39758	65.00375	14.63871	14.79589	4.886274	0.6710809
8.359	33.9108	-84.52682	0	0.2188094	0.1149656	-0.006180852	678.5	0	0	0	0.6124653	-0.2515564	-1.276901	0.3713837	-1.145573	-23.89297	20	145.4	18.30866	95	0.922131	13.72549	60	0	0	0	0	0	0	-5.221359	0	0	8.39758	65.00375	14.63871	14.79589	4.886274	0.6710809
8.462	33.9108	-84.52682	0	0.0004283	0.05775467	0.06022859	678.5	0	0	0	0.6124653	-0.06788635	-1.338623	0.3110046	-1.138147	-23.89897	20	145.4	18.30866	95	0.922131	13.72549	60	0	0	0	0	0	0	-5.221359	0	0	8.39758	65.00375	14.63871	14.79589	4.886274	0.6710809
8.562	33.9108	-84.52682	0	0.2059249	0.05480625	-0.08663496	678.5	0	0	0	0.6124653	-0.006896973	-1.460815	0.2507324	-1.126617	-23.90217	20	145.4	18.30866	95	0.922131	13.72549	60	0	0	0	0	0	0	-5.221359	0	0	8.39758	65.00375	14.63871	14.79589	4.886274	0.6710809
8.665	33.9108	-84.52682	0	0.1485466	-0.06526189	-0.03013345	678.5	0	0	0	0.6906711	-0.2515564	-1.276901	0.3713837	-1.140319	-23.91349	20	145.4	18.30866	95	1.039878	13.72549	60	0	0	0	0	0	0	-5.221359	0	0	9.469869	65.00375	14.63871	14.79589	4.886274	0.6710809
8.765	33.9108	-84.52682	0	-0.1118083	-0.7290506	0.9153278	678.5	0	0	0	0.6906711	-0.435257	-1.093018	0.5530701	-1.051631	-24.20386	20	145.4	18.30866	95	1.039878	13.72549	60	0	0	0	0	0	0	-5.221359	0	0	9.469869	65.00375	14.63871	14.79589	4.886274	0.6710809
8.868	33.9108	-84.52682	0	0.5259489	-0.4075243	0.6867017	678.5	0	0	0	0.6906711	-0.2515259	-1.399063	0.2500763	-0.9885076	-24.43931	20	145.4	18.30866	95	1.039878	13.72549	60	0	0	0	0	0	0	-5.221359	0	0	9.469869	65.00375	14.63514	14.79589	4.886274	0.6710809
8.97	33.9108	-84.52682	0	0.0670213	-0.1180235	0.7367123	728	0	0	0	0.6906711	-0.1296387	-1.276962	0.493454	-0.9328296	-24.6284	20	145.4	18.30866	95	1.039878	13.72549	60	0	0	0	0	0	0	-5.221359	0	0	9.469869	68.31981	14.63514	14.79589	4.886274	0.6710809
9.07	33.9108	-84.52682	0	0.1309124	-0.2324146	0.4886904	728	0	0	0	0.6906711	-0.1905823	-1.338013	0.3717651	-0.9040016	-24.76405	20	145.4	18.30866	95	1.039878	13.72549	60	0	0	0	0	0	0	-5.221359	0	0	9.469869	68.31981	14.63514	14.79589	4.886274	0.6710809
9.17	33.9108	-84.52682	0	0.2627788	-0.2010996	0.3642257	728	0	0	0	0.6906711	-0.007156372	-1.460632	0.311676	-0.8839509	-24.83856	22.7451	145.4	18.30866	95	1.039878	13.72549	60	0	0	0	0	0	0	-5.221359	0	0	9.469869	68.31981	14.63514	14.79589	4.886274	0.6710809
9.273	33.9108	-84.52682	0	0.04075745	0.02005836	-0.02649173	728	0	0	0	0.6906711	-0.00617981	-1.217041	0.3105164	-0.8772123	-24.90616	22.7451	145.4	18.30866	95	1.039878	13.72549	60	0	0	0	0	0	0	-5.221359	0	0	9.469869	68.31981	14.63514	14.79589	4.886274	0.6710809
9.373	33.9108	-84.52682	0	0.1815073	-0.3261875	0.3003898	728	0	0	0	0.6906711	-0.1288452	-1.338593	0.2499695	-0.8647328	-24.92597	22.7451	145.4	18.30866	95	1.039878	13.72549	60	0	0	0	0	0	0	-5.221359	0	0	9.469869	68.31981	14.63514	14.79589	4.886274	0.6710809
9.473	33.9108	-84.52682	0	-0.1216947	-0.01725385	0.350975	728	0	0	0	0.6906711	-0.1290894	-1.39949	0.2502594	-0.8596683	-24.97847	22.7451	145.4	17.42276	95	1.039878	13.72549	60	0	0	0	0	0	0	-5.656472	0	0	9.469869	68.31981	14.63514	14.79589	4.886274	0.6710809
9.573	33.9108	-84.52682	0	0.1281575	-0.02667547	0.1853513	728	0	0	0	0.6906711	-0.1293335	-1.460388	0.2505493	-0.8471017	-25.01639	22.7451	145.4	17.42276	95	1.039878	13.72549	60	0	0	0	0	0	0	-5.656472	0	0	9.469869	68.31981	14.63514	14.79589	4.886274	0.6710809
